,Date,Open,High,Low,Adj Close,Volume,ref_Close,Perc_ref,Perc_Change,Ticker,Net_Close,Net_High,Net_Low,PC 1,PC 2,PC 3,Class
52,2020-03-18,4.1,4.25,3.5,3.77,3651700,-2.54,-0.4025356576862123,-0.0875331564986736,GME,-0.3299999999999996,0.1500000000000003,-0.5999999999999996,-0.44964961339676934,-0.7502155531560115,0.17581228693352005,0
53,2020-03-19,3.71,4.2,3.55,4.19,5039500,-2.119999999999999,-0.3359746434231377,0.1145584725536993,GME,0.4800000000000004,0.4900000000000002,-0.1600000000000001,-0.8118336274116614,-0.5356818821408521,0.15959163520900088,0
54,2020-03-20,4.08,4.08,3.65,3.76,7722200,-2.55,-0.4041204437400951,-0.0851063829787234,GME,-0.3200000000000003,0.0,-0.4300000000000001,-0.4733304737974763,-0.6644228602667884,0.43512063712671994,0
55,2020-03-23,3.58,3.86,3.5,3.81,6009800,-2.5,-0.3961965134706814,0.0603674540682414,GME,0.2299999999999999,0.2799999999999998,-0.08,-0.7591096268173929,-0.6077318588351776,0.2923505505297107,0
56,2020-03-24,3.95,4.21,3.89,4.16,6805600,-2.1499999999999995,-0.340729001584786,0.0504807692307692,GME,0.2099999999999999,0.2599999999999998,-0.06,-0.754139691319452,-0.5874214893733807,0.33834976394184274,0
57,2020-03-25,4.15,4.49,4.04,4.17,3592100,-2.14,-0.3391442155309033,0.0047961630695442,GME,0.0199999999999995,0.3399999999999998,-0.1100000000000003,-0.7170991278256821,-0.689886161557732,0.16021115676641548,0
58,2020-03-26,4.24,4.71,4.24,4.41,6185700,-1.8999999999999997,-0.3011093502377178,0.0385487528344671,GME,0.1699999999999999,0.4699999999999997,0.0,-0.7802368961836357,-0.5316676228492856,0.24247493115661825,0
59,2020-03-27,4.94,5.09,4.15,4.22,7024800,-2.09,-0.3312202852614897,-0.1706161137440759,GME,-0.7200000000000006,0.1499999999999994,-0.79,-0.26138813242094106,-0.6263836133463585,0.3105167414831891,0
60,2020-03-30,4.22,4.27,3.65,3.65,3350600,-2.66,-0.421553090332805,-0.1561643835616438,GME,-0.5699999999999998,0.0499999999999998,-0.5699999999999998,-0.39711567527398683,-0.8220507128997271,0.20503219056101232,0
61,2020-03-31,3.63,3.8,3.5,3.5,2300900,-2.81,-0.4453248811410459,-0.0371428571428571,GME,-0.1299999999999999,0.1699999999999999,-0.1299999999999999,-0.6734815654316002,-0.8203953792664174,0.16244917622581986,0
62,2020-04-01,3.45,3.49,3.12,3.25,4568700,-3.06,-0.4849445324881141,-0.0615384615384615,GME,-0.2000000000000001,0.04,-0.33,-0.5633044081639593,-0.7731402933117224,0.28845684517739667,0
63,2020-04-02,3.26,3.35,2.85,2.85,4064300,-3.4599999999999995,-0.5483359746434231,-0.1438596491228069,GME,-0.4099999999999997,0.0900000000000003,-0.4099999999999997,-0.4893431485739015,-0.7794829477007769,0.24051382637004223,0
64,2020-04-03,2.85,2.94,2.57,2.8,3830400,-3.51,-0.5562599049128367,-0.0178571428571429,GME,-0.0500000000000002,0.0899999999999998,-0.2800000000000002,-0.6261512091738495,-0.7758025713244706,0.24114052450076057,0
