,Date,Open,High,Low,Adj Close,Volume,b_ref_Close,b_Perc_ref,a_ref_Close,a_Perc_ref,Ticker,Net_Close,Net_High
65,2020-04-06,2.86,3.2,2.83,3.09,3340500,-2.55,-0.4521276595744681,-50.41,-0.9422429906542056,GME,0.22999999999999998,0.3400000000000003
66,2020-04-07,3.39,3.44,3.1,3.27,2836900,-2.3699999999999997,-0.4202127659574468,-50.23,-0.9388785046728971,GME,-0.1200000000000001,0.04999999999999982
67,2020-04-08,3.23,3.67,3.2,3.41,2884500,-2.2299999999999995,-0.39539007092198575,-50.09,-0.9362616822429907,GME,0.18000000000000016,0.43999999999999995
68,2020-04-09,3.6,4.25,3.49,3.89,5908600,-1.7499999999999996,-0.31028368794326233,-49.61,-0.9272897196261682,GME,0.29000000000000004,0.6499999999999999
69,2020-04-13,4.25,4.76,4.16,4.74,6844500,-0.8999999999999995,-0.1595744680851063,-48.76,-0.9114018691588784,GME,0.4900000000000002,0.5099999999999998
70,2020-04-14,5.21,6.47,5.14,5.95,13506600,0.3100000000000005,0.05496453900709229,-47.55,-0.888785046728972,GME,0.7400000000000002,1.2599999999999998
71,2020-04-15,5.66,5.67,4.9,5.27,7499900,-0.3700000000000001,-0.06560283687943265,-48.230000000000004,-0.9014953271028038,GME,-0.39000000000000057,0.009999999999999787
72,2020-04-16,5.12,5.44,4.88,5.03,3371900,-0.6099999999999994,-0.10815602836879423,-48.47,-0.9059813084112149,GME,-0.08999999999999986,0.3200000000000003
73,2020-04-17,5.22,5.28,4.43,4.88,5653200,-0.7599999999999998,-0.13475177304964536,-48.62,-0.9087850467289719,GME,-0.33999999999999986,0.0600000000000005
74,2020-04-20,4.85,5.9,4.78,5.61,6085000,-0.02999999999999936,-0.0053191489361701,-47.89,-0.8951401869158878,GME,0.7600000000000007,1.0500000000000007
75,2020-04-21,5.23,5.3,4.76,4.78,4142100,-0.8599999999999994,-0.15248226950354601,-48.72,-0.9106542056074766,GME,-0.4500000000000002,0.0699999999999994
76,2020-04-22,5.14,5.17,4.83,4.89,2677800,-0.75,-0.13297872340425532,-48.61,-0.9085981308411215,GME,-0.25,0.03000000000000025
77,2020-04-23,4.75,4.89,4.58,4.7,2265900,-0.9399999999999995,-0.16666666666666657,-48.8,-0.9121495327102803,GME,-0.04999999999999982,0.13999999999999968
78,2020-04-24,4.78,4.85,4.66,4.77,2236200,-0.8700000000000001,-0.1542553191489362,-48.730000000000004,-0.9108411214953271,GME,-0.010000000000000675,0.0699999999999994
79,2020-04-27,4.85,5.99,4.81,5.82,7275100,0.1800000000000006,0.031914893617021385,-47.68,-0.8912149532710281,GME,0.9700000000000006,1.1400000000000006
80,2020-04-28,5.92,6.04,5.06,5.64,5200200,0.0,0.0,-47.86,-0.8945794392523364,GME,-0.28000000000000025,0.1200000000000001
81,2020-04-29,5.83,6.09,5.45,6.04,3369600,0.40000000000000036,0.0709219858156029,-47.46,-0.8871028037383177,GME,0.20999999999999996,0.2599999999999998
82,2020-04-30,5.87,5.98,5.64,5.73,2173300,0.09000000000000075,0.015957446808510772,-47.769999999999996,-0.8928971962616822,GME,-0.13999999999999968,0.11000000000000032
83,2020-05-01,5.65,6.18,5.45,6.05,4005600,0.41000000000000014,0.07269503546099294,-47.45,-0.8869158878504674,GME,0.39999999999999947,0.5299999999999994
84,2020-05-04,5.84,5.93,5.4,5.48,4068100,-0.15999999999999925,-0.028368794326241006,-48.019999999999996,-0.8975700934579438,GME,-0.35999999999999943,0.08999999999999986
85,2020-05-05,5.55,5.63,5.35,5.39,2105900,-0.25,-0.044326241134751775,-48.11,-0.8992523364485981,GME,-0.16000000000000014,0.08000000000000007
86,2020-05-06,5.4,5.4,4.9,4.93,3369600,-0.71,-0.12588652482269502,-48.57,-0.9078504672897196,GME,-0.47000000000000064,0.0
87,2020-05-07,4.83,4.93,4.65,4.87,2500800,-0.7699999999999996,-0.13652482269503538,-48.63,-0.9089719626168224,GME,0.040000000000000036,0.09999999999999964
88,2020-05-08,4.88,5.19,4.82,4.98,2352600,-0.6599999999999993,-0.11702127659574456,-48.519999999999996,-0.9069158878504672,GME,0.10000000000000053,0.3100000000000005
89,2020-05-11,4.92,4.96,4.75,4.76,1699200,-0.8799999999999999,-0.15602836879432624,-48.74,-0.9110280373831776,GME,-0.16000000000000014,0.040000000000000036
90,2020-05-12,4.78,4.92,4.46,4.54,2639200,-1.0999999999999996,-0.19503546099290775,-48.96,-0.9151401869158878,GME,-0.2400000000000002,0.13999999999999968
91,2020-05-13,4.54,4.54,4.07,4.21,2882900,-1.4299999999999997,-0.2535460992907801,-49.29,-0.9213084112149532,GME,-0.33000000000000007,0.0
92,2020-05-14,4.15,4.19,3.96,4.13,2004900,-1.5099999999999998,-0.2677304964539007,-49.37,-0.922803738317757,GME,-0.020000000000000462,0.040000000000000036
93,2020-05-15,4.05,4.45,4.04,4.22,1940600,-1.42,-0.25177304964539005,-49.28,-0.9211214953271029,GME,0.16999999999999993,0.40000000000000036
94,2020-05-18,4.4,4.63,4.36,4.58,2364200,-1.0599999999999996,-0.18794326241134746,-48.92,-0.9143925233644861,GME,0.17999999999999972,0.22999999999999954
95,2020-05-19,4.58,4.75,4.37,4.44,1840700,-1.1999999999999993,-0.2127659574468084,-49.06,-0.9170093457943925,GME,-0.13999999999999968,0.16999999999999993
96,2020-05-20,4.5,4.69,4.34,4.43,2543600,-1.21,-0.21453900709219859,-49.07,-0.917196261682243,GME,-0.07000000000000028,0.1900000000000004
97,2020-05-21,4.45,4.65,4.4,4.44,1971900,-1.1999999999999993,-0.2127659574468084,-49.06,-0.9170093457943925,GME,-0.009999999999999787,0.20000000000000018
98,2020-05-22,4.46,4.49,4.13,4.18,2379900,-1.46,-0.25886524822695034,-49.32,-0.9218691588785046,GME,-0.28000000000000025,0.03000000000000025
99,2020-05-26,4.34,4.61,4.33,4.42,3545700,-1.2199999999999998,-0.21631205673758863,-49.08,-0.9173831775700935,GME,0.08000000000000007,0.27000000000000046
100,2020-05-27,4.57,4.71,4.36,4.69,3146600,-0.9499999999999993,-0.16843971631205662,-48.81,-0.9123364485981309,GME,0.1200000000000001,0.13999999999999968
101,2020-05-28,4.75,4.76,4.3,4.33,2183900,-1.3099999999999996,-0.23226950354609924,-49.17,-0.9190654205607477,GME,-0.41999999999999993,0.009999999999999787
102,2020-05-29,4.33,4.42,4.05,4.06,3961700,-1.58,-0.2801418439716312,-49.44,-0.9241121495327103,GME,-0.27000000000000046,0.08999999999999986
103,2020-06-01,4.12,4.36,4.02,4.13,2611600,-1.5099999999999998,-0.2677304964539007,-49.37,-0.922803738317757,GME,0.009999999999999787,0.2400000000000002
104,2020-06-02,4.27,4.31,4.06,4.18,2369400,-1.46,-0.25886524822695034,-49.32,-0.9218691588785046,GME,-0.08999999999999986,0.040000000000000036
