Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,0.950000,0.950000,0.890000,0.910000,0.910000,59000
2020-03-06,0.920000,0.930000,0.870000,0.890000,0.890000,82000
2020-03-09,0.780000,0.780000,0.630000,0.720000,0.720000,161500
2020-03-10,0.730000,0.750000,0.720000,0.740000,0.740000,52700
2020-03-11,0.740000,0.780000,0.700000,0.720000,0.720000,60600
2020-03-12,0.690000,0.690000,0.520000,0.540000,0.540000,162500
2020-03-13,0.620000,0.620000,0.530000,0.600000,0.600000,89000
2020-03-16,0.350000,0.550000,0.350000,0.490000,0.490000,136000
2020-03-17,0.510000,0.520000,0.480000,0.480000,0.480000,73700
2020-03-18,0.490000,0.520000,0.380000,0.400000,0.400000,49200
2020-03-19,0.400000,0.480000,0.400000,0.480000,0.480000,85800
2020-03-20,0.460000,0.590000,0.440000,0.520000,0.520000,115900
2020-03-23,0.530000,0.560000,0.450000,0.450000,0.450000,97300
2020-03-24,0.480000,0.540000,0.450000,0.520000,0.520000,136400
2020-03-25,0.530000,0.530000,0.490000,0.500000,0.500000,88400
2020-03-26,0.510000,0.540000,0.500000,0.520000,0.520000,89600
2020-03-27,0.510000,0.540000,0.490000,0.500000,0.500000,125400
2020-03-30,0.530000,0.530000,0.460000,0.490000,0.490000,85100
2020-03-31,0.500000,0.500000,0.400000,0.450000,0.450000,99200
2020-04-01,0.460000,0.480000,0.390000,0.400000,0.400000,85200
2020-04-02,0.410000,0.460000,0.410000,0.450000,0.450000,208100
2020-04-03,0.460000,0.470000,0.440000,0.460000,0.460000,39700
2020-04-06,0.500000,0.520000,0.450000,0.500000,0.500000,914900
2020-04-07,0.510000,0.570000,0.470000,0.500000,0.500000,1044100
2020-04-08,0.470000,0.500000,0.430000,0.480000,0.480000,227100
2020-04-09,0.480000,0.490000,0.440000,0.460000,0.460000,154300
2020-04-13,0.460000,0.460000,0.430000,0.440000,0.440000,128200
2020-04-14,0.450000,0.470000,0.400000,0.450000,0.450000,157800
2020-04-15,0.450000,0.460000,0.410000,0.450000,0.450000,173500
2020-04-16,0.450000,0.490000,0.420000,0.430000,0.430000,835600
2020-04-17,0.460000,0.460000,0.420000,0.430000,0.430000,219900
2020-04-20,0.420000,0.440000,0.420000,0.430000,0.430000,175500
2020-04-21,0.430000,0.450000,0.380000,0.420000,0.420000,342700
2020-04-22,0.430000,0.430000,0.400000,0.420000,0.420000,109800
